id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at
951,26UP00202,1,01/16/2026 01:45 PM,01/16/2026 06:20 AM,01/16/2026 07:10 AM,Student reported being harassed,WHITE BLDG,2026-02-18 21:43:32
952,26AL00021,3,01/16/2026 01:27 PM,01/16/2026 01:27 PM,01/16/2026 01:45 PM,Employee reported a parking concern,OAK LOT - BOA - ALTOONA,2026-02-18 21:43:32
953,26AL00020,3,01/16/2026 01:20 PM,01/16/2026 01:10 PM,01/16/2026 01:25 PM,Employee reported a fire alarm activation,OAK HALL,2026-02-18 21:43:32
954,26UP00200,1,01/16/2026 12:43 PM,01/13/2026 03:09 PM,,Employee reported a one vehicle crash with no injuries,NITTANY PARKING,2026-02-18 21:43:32
955,PSHI-2026-01-I-132736,2,01/16/2026 12:36 PM,01/16/2026 12:17 PM,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
956,26UP00305,1,01/16/2026 12:23 PM,01/16/2026 12:23 PM,01/16/2026 12:54 PM,Assisted the ambulance with a medical emergency,SHUNK HALL,2026-02-18 21:43:32
957,26UP00199,1,01/16/2026 12:22 PM,01/15/2026 01:35 AM,01/15/2026 01:40 AM,Student reported a person trespassing inside a residence hall room,POLLOCK HALLS RESIDENCE COMPLEX,2026-02-18 21:43:32
958,26BR00001,6,01/16/2026 12:00 PM,01/14/2026 02:00 PM,01/16/2026 12:00 PM,Employee reported damage to University property,BAKER ENGINEERING & SCIENCE BUILDING,2026-02-18 21:43:32
959,26SL00003,19,01/16/2026 12:00 PM,01/14/2026 11:58 AM,,Assisted a student with a personal matter,HEALTH & WELLNESS BUILDING,2026-02-18 21:43:32
960,PSHI-2026-01-I-132735,2,01/16/2026 11:11 AM,01/16/2026 10:02 AM,,Turned over pipe to police who declined to charge suspect.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
961,26ER00014,5,01/16/2026 10:06 AM,01/16/2026 10:03 AM,,Student reported a two vehicle crash with no injuries,JORDAN RD & COLLEGE DR,2026-02-18 21:43:32
962,26WS00001,22,01/16/2026 10:00 AM,01/16/2026 10:00 AM,01/16/2026 11:00 AM,Employee requested assistance with an administrative matter,MULTI-PURPOSE BUILDING,2026-02-18 21:43:32
963,PSHI-2026-01-I-132732,2,01/16/2026 09:57 AM,01/16/2026 09:02 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32
964,PSHI-2026-01-I-132728,2,01/16/2026 09:25 AM,01/16/2026 08:26 AM,,Assisted LE with inbound combative patient.,Hershey - Reported Location: HMC - Emergency Department,2026-02-18 21:43:32
965,26AL00018,3,01/16/2026 09:00 AM,01/16/2026 09:00 AM,,Employee reported found property,HAWTHORN LOT - ALTOONA,2026-02-18 21:43:32
966,26UP00198,1,01/16/2026 05:53 AM,01/16/2026 05:53 AM,01/16/2026 06:15 AM,Assisted the fire department with a reported fire alarm activation,BEAVER STADIUM,2026-02-18 21:43:32
967,26UP00197,1,01/16/2026 04:35 AM,01/16/2026 03:35 AM,01/16/2026 05:14 AM,Underage student observed highly intoxicated and transported to the hospital,BEAM HALL,2026-02-18 21:43:32
968,26UP00195,1,01/16/2026 02:26 AM,01/16/2026 02:26 AM,01/16/2026 02:30 AM,Conducted a pre-employment background investigation,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32
969,26UP00196,1,01/16/2026 02:08 AM,01/16/2026 12:00 AM,01/16/2026 03:19 AM,Student consumed alcoholic beverages being less than 21 years of age,HIBBS HALL,2026-02-18 21:43:32
970,PSHI-2026-01-I-132719,2,01/16/2026 12:22 AM,,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
971,26UP00193,1,01/16/2026 12:01 AM,01/16/2026 12:01 AM,01/16/2025 12:35 AM,Assisted the fire department with a reported fire alarm activation,SHULZE HALL,2026-02-18 21:43:32
972,26UP00188,1,01/15/2026 10:57 PM,01/12/2026 05:35 PM,01/12/2025 05:35 PM,Employee reported being harassed,UNKNOWN LOCATION,2026-02-18 21:43:32
973,PSHI-2026-01-I-132715,2,01/15/2026 09:50 PM,01/15/2026 08:50 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32
974,PSHI-2026-01-I-132714,2,01/15/2026 09:43 PM,01/15/2026 07:31 PM,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital - 1 > HMC - Children's Hospital - 1,2026-02-18 21:43:32
975,PSHI-2026-01-I-132713,2,01/15/2026 09:30 PM,01/15/2026 06:48 PM,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
976,PSHI-2026-01-I-132711,2,01/15/2026 08:42 PM,01/15/2026 08:25 PM,,Safekeeping of patient knife.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
977,26UP00173,1,01/15/2026 06:54 PM,01/15/2026 03:00 PM,01/15/2026 06:30 PM,Student reported being harassed,UNKNOWN LOCATION,2026-02-18 21:43:32
978,26UP00174,1,01/15/2026 06:16 PM,07/15/2025 06:16 PM,01/15/2026 07:45 PM,Student reported being harassed,SPROUL HALL,2026-02-18 21:43:32
979,PSHI-2026-01-I-132703,2,01/15/2026 05:43 PM,01/15/2026 02:55 PM,,Assisted clinical staff with an agitated visitor.,Hershey - Dispatched To: HMC - Main Hospital - 6 - MIMCU > HMC - Main Hospital - 6 - MIMCU,2026-02-18 21:43:32
980,26ER00013,5,01/15/2026 05:37 PM,01/15/2026 05:37 PM,01/15/2026 05:50 PM,Employee reported an alarm activation,SMITH CHAPEL & CARILLON,2026-02-18 21:43:32
981,26UP00168,1,01/15/2026 04:45 PM,10/31/2025 11:00 PM,11/01/2025 12:00 AM,Student reported they were sexually assaulted by a known person in a residence hall,SOUTH HALLS RESIDENCE COMPLEX,2026-02-18 21:43:32
982,26UP00164,1,01/15/2026 04:27 PM,12/28/2025 04:27 PM,12/28/2025 06:00 PM,Student reported suspicious persons,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32
983,26UP00166,1,01/15/2026 04:27 PM,01/15/2026 04:27 PM,01/15/2026 04:37 PM,Student found in possession of alcoholic beverages being less than 21 years of age,SNYDER HALL,2026-02-18 21:43:32
984,PSHI-2026-01-I-132693,2,01/15/2026 03:40 PM,01/15/2026 02:43 PM,,Assisted courier with deposit into treasury.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Cashier's Office > HMC - Main Hospital - 1 - Cashier's Office,2026-02-18 21:43:32
985,PSHI-2026-01-I-132694,2,01/15/2026 03:40 PM,01/15/2026 03:11 PM,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital - 6 > HMC - Children's Hospital - 6,2026-02-18 21:43:32
986,26HB00010,13,01/15/2026 02:29 PM,01/15/2026 02:29 PM,01/15/2026 03:00 PM,Assisted the ambulance with a medical emergency,OLMSTED BUILDING,2026-02-18 21:43:32
987,PSHI-2026-01-I-132689,2,01/15/2026 02:15 PM,01/15/2026 01:22 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 > HMC - Main Hospital - 4,2026-02-18 21:43:32
988,PSHI-2026-01-I-132687,2,01/15/2026 02:09 PM,01/15/2026 01:56 PM,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
989,PSHI-2026-01-I-132686,2,01/15/2026 02:02 PM,01/15/2026 12:18 PM,,Visitor mismatch on the sex offender registry.,Hershey - Dispatched To: HMC - Children's Hospital - 1 - Children's Hospital Main Information Desk > HMC - Children's Hospital - 1 - Children's Hospital Main Information Desk,2026-02-18 21:43:32
990,PSHI-2026-01-I-132685,2,01/15/2026 02:02 PM,01/15/2026 01:10 PM,,Visitor mismatch to the sex offender registry.,Hershey - Dispatched To: HMC - Children's Hospital - 1 - Children's Hospital Main Information Desk > HMC - Children's Hospital - 1 - Children's Hospital Main Information Desk,2026-02-18 21:43:32
991,PSHI-2026-01-I-132681,2,01/15/2026 01:45 PM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 > HMC - Main Hospital - 4,2026-02-18 21:43:32
992,26AL00017,3,01/15/2026 01:33 PM,01/15/2026 01:33 PM,01/15/2026 01:45 PM,Employee reported a fire alarm activation,OAK HALL,2026-02-18 21:43:32
993,26UP00160,1,01/15/2026 01:20 PM,01/12/2026 08:00 PM,01/13/2026 09:00 PM,Student reported the loss or theft of their unattended personal property,EARLE HALL,2026-02-18 21:43:32
994,PSHI-2026-01-I-132679,2,01/15/2026 01:19 PM,01/15/2026 10:05 AM,,Assisted staff with an agitated visitor.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
995,26BK00006,4,01/15/2026 01:17 PM,01/15/2026 01:17 PM,01/15/2026 01:30 PM,Employee reported a fire alarm activation,IVY HALL,2026-02-18 21:43:32
996,26BW00005,7,01/15/2026 12:55 PM,11/26/2025 12:01 AM,01/15/2026 12:55 PM,Employee reported the loss of University property,VAIRO LIBRARY,2026-02-18 21:43:32
997,26UP00159,1,01/15/2026 12:17 PM,01/15/2026 11:17 AM,01/15/2026 12:17 PM,Employee reported a two vehicle crash with no injuries,ORANGE F MORGAN CENTER LOT,2026-02-18 21:43:32
998,26DS00001,9,01/15/2026 12:16 PM,01/15/2026 12:16 PM,01/15/2026 12:22 PM,Visitor requested assistance with a disabled vehicle,N 6TH ST & E DUBOIS AVE,2026-02-18 21:43:32
999,PSHI-2026-01-I-132677,2,01/15/2026 12:08 PM,01/15/2026 10:52 AM,,Visitor harassed staff member.,Hershey - Dispatched To: HMC - Main Hospital  > HMC - Main Hospital,2026-02-18 21:43:32
1000,26UP00158,1,01/15/2026 10:59 AM,01/15/2026 10:59 AM,01/15/2026 11:30 AM,Employee reported a one vehicle crash with no injuries,WEST DECK,2026-02-18 21:43:32
1001,PSHI-2026-01-I-132676,2,01/15/2026 10:58 AM,01/15/2026 10:17 AM,,Team de-escalation plan for agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 > HMC - Main Hospital - 4,2026-02-18 21:43:32
1002,PSHI-2026-01-I-132674,2,01/15/2026 10:46 AM,01/15/2026 10:19 AM,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 > HMC - Main Hospital - 4,2026-02-18 21:43:32
1003,PSHI-2026-01-I-132675,2,01/15/2026 10:46 AM,01/15/2026 10:01 AM,,Assisted LE with removal of restraints.,Hershey - Dispatched To: HMC - Main Hospital - 2 - Same Day Surgery Unit > HMC - Main Hospital - 2 - Same Day Surgery Unit,2026-02-18 21:43:32
1004,26UP00157,1,01/15/2026 10:26 AM,01/13/2026 07:13 PM,01/15/2026 10:16 AM,Employee reported theft of services,HUB PARKING DECK,2026-02-18 21:43:32
1005,26WB00002,21,01/15/2026 10:12 AM,01/14/2026 02:00 PM,01/15/2026 10:12 AM,Employee requested assistance with an administrative matter,ATHLETIC AND RECREATION BUILDING,2026-02-18 21:43:32
1006,26UP00155,1,01/15/2026 09:19 AM,12/15/2025 09:19 AM,01/07/2026 07:00 AM,Employee reported suspicious persons,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32
1007,26HB00009,13,01/15/2026 09:00 AM,01/14/2026 08:00 AM,01/15/2026 09:15 AM,Student reported being harassed,SUSQUEHANNA BUILDING,2026-02-18 21:43:32
1008,PSHI-2026-01-I-132673,2,01/15/2026 09:00 AM,01/15/2026 07:37 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital - 6 > HMC - Children's Hospital - 6,2026-02-18 21:43:32
1009,PSHI-2026-01-I-132672,2,01/15/2026 08:33 AM,01/15/2026 08:11 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 > HMC - Main Hospital - 4,2026-02-18 21:43:32
1010,26BK00007,4,01/15/2026 07:30 AM,01/15/2026 07:30 AM,,Employee reported a suspicious item,BEAVER ATHLETICS AND WELLNESS CENTER,2026-02-18 21:43:32
1011,PSHI-2026-01-I-132668,2,01/15/2026 05:44 AM,01/15/2026 05:12 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-18 21:43:32
1012,26UP00154,1,01/15/2026 02:39 AM,01/15/2026 02:39 AM,01/15/2026 03:16 AM,Student observed highly intoxicated,MCKEAN RD & SHORTLIDGE RD,2026-02-18 21:43:32
1013,PSHI-2026-01-I-132664,2,01/15/2026 01:14 AM,01/14/2026 09:43 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32
1014,26UP00152,1,01/15/2026 12:18 AM,01/15/2026 12:18 AM,01/15/2026 12:45 AM,Underage student observed highly intoxicated,BIGLER RD & MCKEAN RD,2026-02-18 21:43:32
1015,PSHI-2026-01-I-132663,2,01/14/2026 11:16 PM,01/14/2026 11:13 PM,,Found and destroyed items of unknown origin.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Security Operations Center > HMC - Main Hospital - 1 - Security Operations Center,2026-02-18 21:43:32
1016,PSHI-2026-01-I-132662,2,01/14/2026 10:44 PM,01/14/2026 10:30 PM,,Assisted HR with investigation.,Hershey - Reported Location: HMC - Main Hospital - 1 - South Entrance\Chapel,2026-02-18 21:43:32
1017,26UP00151,1,01/14/2026 09:25 PM,12/20/2025 09:25 PM,01/14/2026 09:25 PM,Student reported the theft of their unattended personal property,LOT 81 BEAVER HALL LOT,2026-02-18 21:43:32
1018,26AB00010,2,01/14/2026 09:10 PM,01/14/2026 09:10 PM,01/14/2026 09:14 PM,Assisted an outside law enforcement agency with an investigation,OLD YORK RD,2026-02-18 21:43:32
1019,26HB00007,13,01/14/2026 08:55 PM,01/14/2026 10:45 AM,01/14/2026 11:00 AM,Student reported the theft of their unsecured personal property,CAPITAL UNION BUILDING,2026-02-18 21:43:32
1020,26UP00150,1,01/14/2026 08:50 PM,01/14/2026 08:50 PM,01/14/2026 09:32 PM,Student requested assistance with a personal matter,STUART HALL,2026-02-18 21:43:32
1021,PSHI-2026-01-I-132658,2,01/14/2026 08:40 PM,01/14/2026 07:27 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32
1022,26UP00149,1,01/14/2026 08:12 PM,01/14/2026 08:12 PM,01/14/2026 08:20 PM,Employee reported a suspicious odor,PATERNO LIBRARY,2026-02-18 21:43:32
1023,26ER00012,5,01/14/2026 07:53 PM,01/14/2026 07:53 PM,01/14/2026 08:21 PM,Resident Assistant reported a suspicious odor,NIAGARA HALL,2026-02-18 21:43:32
1024,26BW00004,7,01/14/2026 07:01 PM,01/14/2026 07:01 PM,01/14/2026 07:14 PM,Employee reported suspicious person,MAIN BUILDING,2026-02-18 21:43:32
1025,26UP00148,1,01/14/2026 06:28 PM,01/14/2026 06:28 PM,01/14/2026 06:38 PM,Employee reported a vehicle crash no injuries,WAGNER BLDG,2026-02-18 21:43:32
1026,26SL00002,19,01/14/2026 06:15 PM,01/14/2026 03:18 PM,01/14/2026 06:15 PM,Student reported the loss or theft of their unattended personal property,STUDENT-COMMUNITY ACTIVITY CENTER,2026-02-18 21:43:32
1027,PSHI-2026-01-I-132654,2,01/14/2026 06:09 PM,01/14/2026 05:35 PM,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital - 6 > HMC - Children's Hospital - 6,2026-02-18 21:43:32
1028,26UP00147,1,01/14/2026 05:57 PM,01/14/2026 05:57 PM,01/14/2026 06:14 PM,Employee reported a concern for another person,REC HALL,2026-02-18 21:43:32
1029,26UP00146,1,01/14/2026 05:31 PM,10/10/2025 12:00 AM,10/11/2025 11:59 PM,Student reported they were indecently assaulted by a known person in a residence hall,EAST HALLS RESIDENCE COMPLEX,2026-02-18 21:43:32
1030,26UP00144,1,01/14/2026 05:23 PM,01/14/2026 04:16 PM,,Employee reported suspicious activity,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32
1031,26UP00145,1,01/14/2026 05:22 PM,01/14/2026 05:22 PM,01/14/2026 06:30 PM,Student reported unsafe conditions,CHEMICAL AND BIOMEDICAL ENGINEERING BLDG,2026-02-18 21:43:32
1032,PSHI-2026-01-I-132651,2,01/14/2026 05:17 PM,01/14/2026 12:32 PM,,Disposed of item in property.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Security Operations Center > HMC - Main Hospital - 1 - Security Operations Center,2026-02-18 21:43:32
1033,PSHI-2026-01-I-132650,2,01/14/2026 04:58 PM,01/14/2026 04:32 PM,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-18 21:43:32
1034,26HB00008,13,01/14/2026 04:45 PM,02/01/2025 12:00 AM,01/14/2026 05:55 PM,Employee requested assistance with a personal matter,LEUBNITZER WEG 1,2026-02-18 21:43:32
1035,26UP00143,1,01/14/2026 04:29 PM,01/14/2026 04:29 PM,01/14/2026 06:57 PM,Employee reported suspicious persons,NOLL LAB,2026-02-18 21:43:32
1036,PSHI-2026-01-I-132649,2,01/14/2026 04:21 PM,01/14/2026 03:31 PM,,Secured found item.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
1037,26AB00009,2,01/14/2026 04:19 PM,01/14/2026 12:00 AM,01/14/2026 04:19 PM,Employee reported the careless operation of a vehicle,SUTHERLAND BUILDING,2026-02-18 21:43:32
1038,26HB00006,13,01/14/2026 03:14 PM,01/14/2026 03:14 PM,01/14/2026 04:00 PM,Employee requested assistance in locating a student,SUSQUEHANNA BUILDING,2026-02-18 21:43:32
1039,26UP00141,1,01/14/2026 03:05 PM,09/01/2025 12:00 AM,09/30/2025 12:00 AM,Student reported they were sexually assaulted by a known person in a residence hall,ON CAMPUS RESIDENCE HALL,2026-02-18 21:43:32
1040,26UP00140,1,01/14/2026 01:28 PM,11/07/2025 04:30 PM,11/07/2025 05:00 PM,Employee reported a concern for another student,N ATHERTON ST,2026-02-18 21:43:32
1041,PSHI-2026-01-I-132642,2,01/14/2026 12:55 PM,01/14/2026 12:30 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital  > HMC - Main Hospital,2026-02-18 21:43:32
1042,PSHI-2026-01-I-132641,2,01/14/2026 12:52 PM,01/14/2026 12:29 PM,,Visitor Fall.,Hershey - Dispatched To: HMC - Cancer Institute > HMC - Cancer Institute,2026-02-18 21:43:32
1043,26UP00139,1,01/14/2026 12:22 PM,01/14/2026 12:22 PM,01/14/2026 12:57 PM,Employee reported a traffic concern regarding vehicles,NITTANY PARKING,2026-02-18 21:43:32
1044,PSHI-2026-01-I-132637,2,01/14/2026 12:08 PM,01/14/2026 10:52 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
1045,26UP00138,1,01/14/2026 11:58 AM,01/14/2026 11:58 AM,01/14/2026 12:27 PM,Assisted a student with a personal matter,YOUNG HALL,2026-02-18 21:43:32
1046,26AL00016,3,01/14/2026 11:43 AM,01/14/2026 11:43 AM,01/14/2026 11:56 AM,Assisted an outside law enforcement agency with an investigation,JEFFERSON ST,2026-02-18 21:43:32
1047,PSHI-2026-01-I-132631,2,01/14/2026 09:25 AM,01/14/2026 09:02 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-18 21:43:32
1048,PSHI-2026-01-I-132627,2,01/14/2026 05:21 AM,01/14/2026 05:05 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
1049,PSHI-2026-01-I-132626,2,01/14/2026 03:06 AM,01/13/2026 11:20 PM,,Intervened in active patient elopement.,Hershey - Dispatched To: HMC - Children's Hospital - 6 > HMC - Children's Hospital - 6,2026-02-18 21:43:32
1050,26UP00137,1,01/14/2026 02:58 AM,01/14/2026 02:58 AM,01/14/2026 03:30 AM,Underage student observed highly intoxicated and transported to the hospital,PACKER HALL,2026-02-18 21:43:32
1051,26UP00136,1,01/14/2026 02:31 AM,01/14/2026 02:31 AM,01/14/2026 02:50 AM,Underage student observed highly intoxicated,ROBINSON HALL,2026-02-18 21:43:32
1052,26UP00135,1,01/14/2026 02:23 AM,01/14/2026 02:23 AM,01/14/2026 02:45 AM,Underage student observed highly intoxicated,HOLMES HALL,2026-02-18 21:43:32
1053,26UP00134,1,01/14/2026 12:53 AM,01/14/2026 12:53 AM,01/14/2026 04:28 AM,Identified students in possession of marijuana,MCKEAN HALL,2026-02-18 21:43:32
1054,26UP00132,1,01/13/2026 10:29 PM,01/13/2026 10:29 PM,01/13/2026 10:45 PM,Assisted Residence Life staff with a University policy violation,NITTANY APT,2026-02-18 21:43:32
1055,PSHI-2026-01-I-132622,2,01/13/2026 10:26 PM,01/13/2026 09:31 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-18 21:43:32
1056,PSHI-2026-01-I-132621,2,01/13/2026 09:57 PM,01/13/2026 06:45 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-18 21:43:32
1057,26UP00129,1,01/13/2026 09:18 PM,01/13/2026 09:18 PM,01/13/2026 09:45 PM,"Resident Assistant reported the odor of marijuana, origin not located",HAMILTON HALL,2026-02-18 21:43:32
1058,PSHI-2026-01-I-132618,2,01/13/2026 05:59 PM,01/13/2026 05:49 PM,,Intervened in active patient elopement.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32
1059,26AL00015,3,01/13/2026 05:05 PM,01/13/2026 04:45 PM,01/13/2026 05:00 PM,Employee reported a suspicious vehicle,IVYSIDE PARK,2026-02-18 21:43:32
1060,PSHI-2026-01-I-132613,2,01/13/2026 04:36 PM,01/13/2026 02:05 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - 30 Hope Drive > HMC - 30 Hope Drive,2026-02-18 21:43:32
1061,26UP00128,1,01/13/2026 04:09 PM,11/08/2025 10:30 AM,11/08/2025 03:30 PM,Student reported the loss or theft of their secured personal property,BEAVER STADIUM,2026-02-18 21:43:32
1062,PSHI-2026-01-I-132610,2,01/13/2026 04:09 PM,01/13/2026 01:31 PM,,Team de-escalation plan for agitated patient and visitor.,Hershey - Dispatched To: HMC Off-Site - PSMG - Harrisburg - PSMG > HMC Off-Site - PSMG - Harrisburg - PSMG,2026-02-18 21:43:32
1063,PSHI-2026-01-I-132609,2,01/13/2026 04:07 PM,01/13/2026 03:49 PM,,Patient bit PCA.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
1064,26BW00003,7,01/13/2026 04:01 PM,01/13/2026 04:01 PM,01/13/2026 04:14 PM,Visitor mistakenly dialed 911. no issue discovered,ORCHARD HALL,2026-02-18 21:43:32
1065,PSHI-2026-01-I-132608,2,01/13/2026 03:38 PM,01/13/2026 02:52 PM,,Received copy of court documents.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
1066,26AB00008,2,01/13/2026 03:30 PM,01/13/2026 03:30 PM,,Employee requested assistance with an administrative matter,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32
1067,26AL00014,3,01/13/2026 02:54 PM,01/12/2026 02:30 PM,01/12/2026 04:20 PM,Student requested assistance with a personal matter,HAWTHORN BLDG,2026-02-18 21:43:32
1068,PSHI-2026-01-I-132604,2,01/13/2026 01:12 PM,01/13/2026 11:13 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
1069,26AL00013,3,01/13/2026 11:52 AM,01/13/2026 11:52 AM,,Employee reported a hit and run vehicle crash,PENN LOT - GPE - ALTOONA,2026-02-18 21:43:32
1070,26AL00012,3,01/13/2026 11:48 AM,01/13/2026 11:48 AM,01/13/2026 02:05 PM,Employee requested assistance with an administrative matter,SMITH BLDG,2026-02-18 21:43:32
1071,PSHI-2026-01-I-132598,2,01/13/2026 11:45 AM,01/13/2026 11:06 AM,,Employee struck by vehicle.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Main Entrance\Valet > HMC - Main Hospital - 1 - Main Entrance\Valet,2026-02-18 21:43:32
1072,PSHI-2026-01-I-132597,2,01/13/2026 11:45 AM,01/13/2026 11:23 AM,,Visitor fall.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Main Entrance\Valet > HMC - Main Hospital - 1 - Main Entrance\Valet,2026-02-18 21:43:32
1073,26AB00007,2,01/13/2026 10:41 AM,01/13/2026 10:41 AM,01/13/2026 11:40 AM,Student reported a hit and run vehicle crash,LOT J - ABINGTON,2026-02-18 21:43:32
1074,26YK00001,23,01/13/2026 08:20 AM,01/10/2026 09:00 AM,01/10/2026 09:30 AM,Employee requested assistance with an administrative matter,RUHL STUDENT/COMMUNITY CENTER,2026-02-18 21:43:32
1075,26UP00125,1,01/13/2026 04:29 AM,01/13/2026 04:25 AM,01/13/2026 06:31 AM,Employee reported suspicious persons,REDIFER HALL,2026-02-18 21:43:32
1076,PSHI-2026-01-I-132592,2,01/13/2026 03:31 AM,01/13/2026 02:13 AM,,Assisted clinical staff with search of patient belongings.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-18 21:43:32
1077,26UP00124,1,01/13/2026 12:59 AM,01/12/2026 05:08 PM,01/13/2026 01:01 AM,Assisted an outside law enforcement agency with an investigation,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32
1078,PSHI-2026-01-I-132590,2,01/13/2026 12:03 AM,01/12/2026 10:40 PM,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
1079,PSHI-2026-01-I-132589,2,01/12/2026 10:50 PM,01/12/2026 09:31 PM,,Patient's drug covered clothing surrendered to law enforcement.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
1080,26UP00123,1,01/12/2026 10:23 PM,01/12/2026 10:23 PM,01/12/2026 11:59 PM,Student reported a University policy violation,PATTERSON HALL,2026-02-18 21:43:32
1081,26UP00122,1,01/12/2026 09:20 PM,01/12/2026 07:00 AM,01/12/2026 08:00 PM,Student reported the theft of University property,SIMMONS HALL,2026-02-18 21:43:32
1082,26UP00121,1,01/12/2026 08:55 PM,01/12/2026 08:55 PM,01/12/2026 08:59 PM,Employee reported suspicious persons,HAMMOND BLDG,2026-02-18 21:43:32
1083,26BK00005,4,01/12/2026 08:46 PM,01/12/2026 08:46 PM,01/12/2026 09:05 PM,Employee reported a fire alarm activation,LAUREL HALL,2026-02-18 21:43:32
